,,overspeed,drive-over-centerline,violate-traffic-light,unobtain-safe-distance,break-safe-drive-duty,violate-intersection-passing-method,violate-pedestrian-protection-duty,etc
car-to-person,walking-across,152,314,2906,19,15888,190,6927,427
car-to-person,driving-on-the,13,55,61,4,3331,34,61,63
car-to-person,passing-the-edge-of-the-road-area,2,35,25,4,3375,16,26,61
car-to-person,on-the-way,5,44,92,2,565,6,334,579
car-to-person,etc,23,121,239,21,10911,77,414,1067
car-to-car,head-on-collision,47,4135,3391,1035,7889,1775,4,1222
car-to-car,side-rightangle-collision,158,4177,14449,7437,28748,9404,10,9014
car-to-car,bump,125,380,701,8394,29398,790,10,1225
car-to-car,etc,80,1420,2517,3678,15093,2276,22,3005
car-alone,workpiece-collision,28,7,4,3,2069,7,0,42
car-alone,out-of-the-way,4,0,0,0,251,0,0,8
car-alone,parked-stopped-car-collsion,0,2,0,0,33,0,0,1
car-alone,overturn,23,21,10,26,4647,15,0,112
car-alone,etc,3,1,13,37,2199,12,0,835
crosswalk,etc,0,0,0,0,2,0,0,4
