,,total,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday
total,accident,220917,25535,31327,31410,32036,31663,35358,33588
total,dead,4292,550,610,586,579,626,681,660
total,injured,331720,42511,45773,45818,46249,46072,51736,53561
total,severely injured,82463,9963,11552,11575,11855,11817,13076,12625
total,slightly injured,226283,29686,31077,31066,31123,31115,35066,37150
nationalRoad,accident,16959,2004,2465,2339,2344,2403,2699,2705
nationalRoad,dead,723,83,118,106,95,104,92,125
nationalRoad,injured,29375,3916,4138,3897,3820,3934,4536,5134
nationalRoad,severely injured,7881,989,1165,1065,1055,1084,1210,1313
nationalRoad,slightly injured,19691,2721,2740,2570,2517,2625,3015,3503
localRoad,accident,18223,2141,2654,2619,2662,2566,2832,2749
localRoad,dead,562,71,85,77,72,86,92,79
localRoad,injured,28860,3769,4073,4088,4044,3968,4281,4637
localRoad,severely injured,7962,1001,1142,1064,1178,1093,1189,1295
localRoad,slightly injured,18924,2516,2686,2753,2576,2584,2811,2998
metropolitanCityRoad,accident,87685,10162,12210,12631,12633,12614,14080,13355
metropolitanCityRoad,dead,1003,149,123,120,130,143,173,165
metropolitanCityRoad,injured,126638,15985,17338,17800,17575,17679,19931,20330
metropolitanCityRoad,severely injured,30185,3626,4099,4325,4403,4378,4817,4537
metropolitanCityRoad,slightly injured,86655,11137,11884,12112,11750,11997,13620,14155
cityCountyRoad,accident,78627,8896,11188,11150,11668,11347,12605,11773
cityCountyRoad,dead,1527,194,206,216,214,205,256,236
cityCountyRoad,injured,118227,14940,16328,16203,16976,16700,18468,18612
cityCountyRoad,severely injured,29483,3479,4205,4121,4262,4319,4723,4374
cityCountyRoad,slightly injured,81794,10620,11137,11092,11717,11436,12601,13191
expressway,accident,4347,589,589,596,550,518,728,777
expressway,dead,273,27,50,43,34,51,38,30
expressway,injured,10318,1678,1258,1367,1201,1115,1590,2109
expressway,severely injured,2299,351,270,356,279,249,354,440
expressway,slightly injured,7170,1162,892,932,822,762,1117,1483
etc,accident,15076,1743,2221,2075,2179,2215,2414,2229
etc,dead,204,26,28,24,34,37,30,25
etc,injured,18302,2223,2638,2463,2633,2676,2930,2739
etc,severely injured,4653,517,671,644,678,694,783,666
etc,slightly injured,12049,1530,1738,1607,1741,1711,1902,1820
