,,total,1,2,3,4,5,6,7,8,9,10,11,12
total,accident,220917,17067,15664,17946,19452,19554,17977,18955,18398,17883,19918,19234,18869
total,dead,4292,336,292,310,353,347,321,358,336,375,440,416,408
total,injured,331720,26323,24021,26609,29216,29172,26668,28586,28017,26761,29635,28520,28192
total,severely injured,82463,6603,5932,6681,7424,7444,6718,6941,6892,6491,7435,7111,6791
total,slightly injured,226283,18030,16513,18059,19815,19667,18010,19577,19108,18344,20106,19583,19471
nationalRoad,accident,16959,1252,1170,1346,1491,1497,1416,1470,1527,1368,1565,1450,1407
nationalRoad,dead,723,56,48,49,62,43,39,72,61,58,88,75,72
nationalRoad,injured,29375,2184,2118,2278,2532,2670,2393,2555,2710,2414,2685,2432,2404
nationalRoad,severely injured,7881,592,560,616,706,709,639,719,698,633,723,639,647
nationalRoad,slightly injured,19691,1469,1420,1503,1659,1816,1578,1689,1854,1620,1802,1662,1619
localRoad,accident,18223,1396,1329,1506,1598,1553,1451,1560,1516,1431,1657,1653,1573
localRoad,dead,562,44,39,35,55,43,43,45,50,46,54,48,60
localRoad,injured,28860,2229,2138,2412,2534,2427,2241,2501,2470,2308,2574,2486,2540
localRoad,severely injured,7962,644,623,632,761,668,613,693,703,568,684,710,663
localRoad,slightly injured,18924,1429,1374,1603,1611,1593,1476,1619,1591,1575,1705,1639,1709
metropolitanCityRoad,accident,87685,6978,6229,7314,7730,7739,7105,7458,7126,7151,7745,7503,7607
metropolitanCityRoad,dead,1003,79,72,79,76,80,71,78,68,106,101,99,94
metropolitanCityRoad,injured,126638,10234,9113,10391,11180,11030,10169,10785,10422,10359,11184,10707,11064
metropolitanCityRoad,severely injured,30185,2518,2127,2552,2707,2725,2486,2483,2397,2419,2671,2571,2529
metropolitanCityRoad,slightly injured,86655,6989,6352,7060,7628,7419,6866,7404,7191,7113,7611,7346,7676
cityCountyRoad,accident,78627,6087,5634,6292,6924,6994,6349,6727,6466,6319,7113,6958,6764
cityCountyRoad,dead,1527,122,97,110,125,123,134,123,126,130,146,145,146
cityCountyRoad,injured,118227,9588,8606,9406,10405,10400,9460,10188,9758,9384,10599,10429,10004
cityCountyRoad,severely injured,29483,2331,2107,2351,2646,2708,2420,2450,2431,2324,2716,2571,2428
cityCountyRoad,slightly injured,81794,6721,5977,6480,7145,7094,6480,7136,6715,6484,7247,7277,7038
expressway,accident,4347,339,328,317,411,408,326,406,378,311,364,407,352
expressway,dead,273,21,18,19,20,31,21,21,14,22,33,28,25
expressway,injured,10318,831,847,710,959,1006,785,957,928,707,842,953,793
expressway,severely injured,2299,200,203,156,219,221,160,188,206,147,201,214,184
expressway,slightly injured,7170,597,596,496,684,717,538,669,627,512,574,665,495
etc,accident,15076,1015,974,1171,1298,1363,1330,1334,1385,1303,1474,1263,1166
etc,dead,204,14,18,18,15,27,13,19,17,13,18,21,11
etc,injured,18302,1257,1199,1412,1606,1639,1620,1600,1729,1589,1751,1513,1387
etc,severely injured,4653,318,312,374,385,413,400,408,457,400,440,406,340
etc,slightly injured,12049,825,794,917,1088,1028,1072,1060,1130,1040,1167,994,934
